model,n,prevalence,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,log_loss_mean,log_loss_sd,brier_mean,brier_sd
Majority baseline,33231,0.4708856188498691,0.5291143811501309,0.0,0.5,0.0,0.5,0.0,0.6914509268711082,0.0,0.2491523528102449,0.0
Stance only,33231,0.4708856188498691,0.7550479964646837,0.0011210709272776824,0.7616094328172683,0.0010239435618354291,0.8224478291185466,0.0026286764484200996,0.4999167885597361,0.0031255031106084815,0.16524273942530543,0.001291827268837767
Trust only,33231,0.4708856188498691,0.67825219516442,0.004122523631030358,0.6813598053223923,0.004189093897839213,0.7275154099930046,0.003775303987297665,0.6042563056936816,0.002903484167081405,0.20806292097960566,0.0013525594361594993
Context,33231,0.4708856188498691,0.6156904155250768,0.005530488523436074,0.6107841554568835,0.005982947015615552,0.6622303559386591,0.009037756697327494,0.649409166883739,0.004772428680580636,0.22896017257934614,0.002171496875015915
Context + trust,33231,0.4708856188498691,0.6979025153996646,0.001590188640207224,0.696490240239459,0.0018120542552905563,0.7640295276676663,0.0018388483568681146,0.5781774522578237,0.0018588258522496005,0.19716555537270222,0.0006917437043101868
Context + stance,33231,0.4708856188498691,0.7692217002540885,0.00777448411786652,0.7708468356919379,0.007989323655902159,0.8497909545305632,0.003922059352915544,0.47788375047215653,0.005056541935759084,0.1571492421124961,0.002262822049209586
Context + trust + stance,33231,0.4708856188498691,0.770696171823038,0.006009254025657051,0.7719837984550731,0.006165032675327135,0.8519035900375023,0.0031919013341987525,0.4754017589496189,0.004255939854953819,0.15618744536286472,0.0019467502758464034
