year,current_use_among_ai_respondents,favorable_stance,trust_among_current_users,distrust_among_current_users,trust_current_user_denominator
2023,44.379525536244074,76.28006048682136,48.1742439827196,24.177124048549683,38888
2024,61.83525703121152,71.97044012817997,43.04058763605168,30.36566403946169,37302
2025,78.49644128113879,59.724504736008605,39.34777616167802,37.25407639898951,26126
