favorable_stance,stance_score,n,daily_n,daily_rate,ci_low,ci_high
Very unfavorable,0,389,69,0.17737789203084833,0.1426275006042874,0.21843790029942753
Unfavorable,1,837,155,0.18518518518518517,0.16032838037557628,0.21291850883094116
Unsure,2,48,10,0.20833333333333334,0.11730272957905595,0.34258901272617925
Indifferent,3,716,226,0.31564245810055863,0.28265976072600824,0.35059281626155864
Favorable,4,795,460,0.5786163522012578,0.5439947788601153,0.6124818268790683
Very favorable,5,241,205,0.8506224066390041,0.8001341633878468,0.8901084156835538
