sample,outcome,model,n,prevalence,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,log_loss_mean,log_loss_sd,brier_mean,brier_sd
full_complete_case,daily_vs_all_other_answers,Stance only,33231,0.4708856188498691,0.7550479964646837,0.0011210709272776824,0.7616094328172683,0.0010239435618354291,0.8224478291185466,0.0026286764484200996,0.4999167885597361,0.0031255031106084815,0.16524273942530543,0.001291827268837767
full_complete_case,daily_vs_all_other_answers,Trust only,33231,0.4708856188498691,0.67825219516442,0.004122523631030358,0.6813598053223923,0.004189093897839213,0.7275154099930046,0.003775303987297665,0.6042563056936816,0.002903484167081405,0.20806292097960566,0.0013525594361594993
full_complete_case,daily_vs_all_other_answers,Context + trust,33231,0.4708856188498691,0.6979025153996646,0.001590188640207224,0.696490240239459,0.0018120542552905563,0.7640295276676663,0.0018388483568681146,0.5781774522578237,0.0018588258522496005,0.19716555537270222,0.0006917437043101868
full_complete_case,daily_vs_all_other_answers,Context + stance,33231,0.4708856188498691,0.7692217002540885,0.00777448411786652,0.7708468356919379,0.007989323655902159,0.8497909545305632,0.003922059352915544,0.47788375047215653,0.005056541935759084,0.1571492421124961,0.002262822049209586
full_complete_case,daily_vs_all_other_answers,Context + trust + stance,33231,0.4708856188498691,0.770696171823038,0.006009254025657051,0.7719837984550731,0.006165032675327135,0.8519035900375023,0.0031919013341987525,0.4754017589496189,0.004255939854953819,0.15618744536286472,0.0019467502758464034
full_complete_case,weekly_or_more_vs_rest,Stance only,33231,0.6482802202762481,0.8055730353987537,0.001759636073429833,0.8033512898746237,0.0015903949356631563,0.8540062312340349,0.0020672873645099896,0.4305444207934608,0.0027525737709725388,0.1359642507158681,0.001027598102323308
full_complete_case,weekly_or_more_vs_rest,Trust only,33231,0.6482802202762481,0.7310943675657816,0.005815677159572974,0.6546154916831183,0.006535748511225486,0.7509061237178238,0.0033603540587265994,0.548874499915329,0.0033847342287405607,0.18391814604476175,0.0017554392995924875
full_complete_case,weekly_or_more_vs_rest,Context + trust,33231,0.6482802202762481,0.7464113854498515,0.005145625014456724,0.6964483557085293,0.006506675038794108,0.7888084996353651,0.003961895000295396,0.5218174921620108,0.004718530143512684,0.17349801284601907,0.002202231007046741
full_complete_case,weekly_or_more_vs_rest,Context + stance,33231,0.6482802202762481,0.820559162922134,0.004034256096826048,0.7930889509665764,0.005355600042794393,0.8797623693754186,0.0036214979756615164,0.40695415035589494,0.005731232749257361,0.12799915822115185,0.002117454352126391
full_complete_case,weekly_or_more_vs_rest,Context + trust + stance,33231,0.6482802202762481,0.8216124235166629,0.0043682555184401195,0.7944103546788938,0.005334672945225864,0.8815086824542974,0.0031261680443457275,0.4047890771274013,0.005490126802974152,0.12739878155765155,0.0021639907788174473
full_complete_case,any_current_use_vs_nonuse,Stance only,33231,0.7854713971893714,0.8511931443620855,0.0034370988245572202,0.6976838182007451,0.0064794857129420475,0.8644197323439687,0.002796097504266223,0.3445863261393273,0.003180247843941081,0.10593609141522797,0.001334169872804181
full_complete_case,any_current_use_vs_nonuse,Trust only,33231,0.7854713971893714,0.7996146365754299,0.004096103448570898,0.6872301104520551,0.00561849506022392,0.7621230302168691,0.005225836848238892,0.43656215019381417,0.0038086500454921754,0.13907873974961432,0.0013908867818515193
full_complete_case,any_current_use_vs_nonuse,Context + trust,33231,0.7854713971893714,0.8131562047250945,0.004426354747276663,0.6421680618109978,0.008418255645690579,0.8014396451001311,0.00542255628543205,0.4153934504437693,0.003962550420187113,0.1319866335111904,0.0014640978288144595
full_complete_case,any_current_use_vs_nonuse,Context + stance,33231,0.7854713971893714,0.8608528094985232,0.003355532743367892,0.748186548219848,0.0073669498476845435,0.8873385877323601,0.003709359987516309,0.32663336626266426,0.0039024536438835226,0.10027578369612355,0.001148083725892992
full_complete_case,any_current_use_vs_nonuse,Context + trust + stance,33231,0.7854713971893714,0.861966179706511,0.0033447843082459847,0.7508830438050286,0.00683556382394976,0.8885540491765894,0.0033549916520008403,0.32509495366566965,0.003688644883812812,0.09985438886654172,0.0011224524990121035
full_complete_case,current_or_plan_vs_no_plan,Stance only,33231,0.8381932532875929,0.8950077419932587,0.003116098253700071,0.7248648968121891,0.008950380171635026,0.9147986289794643,0.003882583990739176,0.24658361083595787,0.004974867810593563,0.07615339460729623,0.0017712317362723114
full_complete_case,current_or_plan_vs_no_plan,Trust only,33231,0.8381932532875929,0.8370799169014134,0.0017003252707159142,0.5963499357392053,0.13194360010032066,0.8189666269012973,0.005945617355619653,0.3389823009616174,0.003942090530010353,0.1049635987599482,0.001173573151102913
full_complete_case,current_or_plan_vs_no_plan,Context + trust,33231,0.8381932532875929,0.8576629163163443,0.002602540473695604,0.6506585427761123,0.007143195797096882,0.8474704037088518,0.005119409278292361,0.32499795347570704,0.003733956472122382,0.1004658843874077,0.0010898908711077305
full_complete_case,current_or_plan_vs_no_plan,Context + stance,33231,0.8381932532875929,0.8996418414159267,0.003113388467513231,0.7679985918029436,0.00885060764715537,0.9292084109113128,0.0030489726228313217,0.23528395481749537,0.004756665591550933,0.07236565016205362,0.0017105496083550547
full_complete_case,current_or_plan_vs_no_plan,Context + trust + stance,33231,0.8381932532875929,0.9002136274927075,0.003057870476382361,0.7743420059058136,0.008563287799773217,0.9308880311650297,0.0030737334707426492,0.23284275581421943,0.004992284073741492,0.0715484859823734,0.0017705723941403239
current_users_only,daily_vs_less_frequent_use,Stance only,26102,0.5994942916251628,0.7228565819880075,0.005597422876293701,0.6852355461105608,0.006053669281699518,0.7578299909678299,0.007120665038036194,0.5561889188499665,0.007250547678492166,0.18771519819477683,0.0029980350773686918
current_users_only,daily_vs_less_frequent_use,Trust only,26102,0.5994942916251628,0.654126123428741,0.0033710062515817226,0.634103442677958,0.0031973770483283382,0.6686259872402338,0.00230511738784948,0.627360350961139,0.0010832159185051558,0.21863066537251047,0.0005881225224630435
current_users_only,daily_vs_less_frequent_use,Context + trust,26102,0.5994942916251628,0.6659261558647989,0.004861353491049469,0.6355782175251448,0.005728445735420168,0.7035832688579925,0.005023767908882325,0.6103769466576452,0.0035568318184825893,0.21120998900498233,0.0015792933839893642
current_users_only,daily_vs_less_frequent_use,Context + stance,26102,0.5994942916251628,0.729216192197587,0.005228324388986148,0.7038121033326349,0.005905045074335747,0.7900856587675427,0.007252860539268244,0.5387864285211834,0.00837304596369657,0.18081387841617397,0.0032416027221299905
current_users_only,daily_vs_less_frequent_use,Context + trust + stance,26102,0.5994942916251628,0.731055052503117,0.0037199208516809,0.7061554204665159,0.004540329285507314,0.7929242727579566,0.0068570062038827645,0.5362651763652206,0.007948960332163486,0.1797762033606151,0.003050199836364412
