model,n,prevalence,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,log_loss_mean,log_loss_sd,brier_mean,brier_sd
Majority baseline,20760,0.6267341040462427,0.6267341040462427,0.0,0.5,0.0,0.5,0.0,0.6606709942214639,0.0,0.2339384668715961,0.0
Stance only,20760,0.6267341040462427,0.7357899807321773,0.00963692149505903,0.6896117374721438,0.012105742919955042,0.7630991498436119,0.010571331003921106,0.5411510816647546,0.010086517175005028,0.18182451365790558,0.004261611113695789
Trust only,20760,0.6267341040462427,0.6608381502890174,0.004465112661121874,0.6393395562821983,0.005937173083053133,0.6747016746595698,0.009638005561232826,0.6127433890552406,0.005587513179189078,0.21213902395827727,0.0022806433899720917
Context,20760,0.6267341040462427,0.6323217726396917,0.0038857936945555205,0.5307877067738109,0.00510896517273376,0.6070709997308051,0.012686435205683093,0.6442252379114752,0.004191876522145534,0.22637954844644054,0.0018318425950975235
Context + trust,20760,0.6267341040462427,0.6714354527938343,0.003618332180481901,0.6227425050456687,0.005447311139140073,0.6954087924456289,0.010567097976915478,0.6049323499645459,0.006374561539514692,0.20884494281787264,0.002525653581561547
Context + stance,20760,0.6267341040462427,0.7377649325626204,0.00984740560357575,0.6961975308938875,0.011936615180236303,0.7876154400903532,0.012018160102846148,0.5315876685449469,0.010921573121589916,0.1779483876024969,0.004750573401603707
Context + trust + stance,20760,0.6267341040462427,0.7380057803468208,0.0088056137006268,0.6979810630174452,0.009811437093464409,0.7906660172065028,0.011958951920760168,0.5290943065158504,0.011164784037489286,0.17696943954625804,0.004739401386113165
