comparison,splits,auc_delta_mean,auc_delta_sd,auc_delta_2_5pct,auc_delta_97_5pct,auc_delta_positive_splits,log_loss_improvement_mean,log_loss_improvement_positive_splits
Context + stance minus Context + trust,50,0.08677477333864671,0.006805180937648946,0.07605092775829075,0.09813945017874061,50,0.07182172650081467,50
Context + trust + stance minus Context + stance,50,0.0027699967899252396,0.0010633372126784297,0.0006805880064130604,0.004319925402640387,50,0.002438694966060495,50
