model,n,prevalence,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,log_loss_mean,log_loss_sd,brier_mean,brier_sd
Majority baseline,26102,0.5994942916251628,0.5994942916251628,0.0,0.5,0.0,0.5,0.0,0.6732161813911971,0.0,0.24010088593400705,0.0
Stance only,26102,0.5994942916251628,0.7228565819880075,0.005597422876293701,0.6852355461105608,0.006053669281699518,0.7578299909678299,0.007120665038036194,0.5561889188499665,0.007250547678492166,0.18771519819477683,0.0029980350773686918
Trust only,26102,0.5994942916251628,0.654126123428741,0.0033710062515817226,0.634103442677958,0.0031973770483283382,0.6686259872402338,0.00230511738784948,0.627360350961139,0.0010832159185051558,0.21863066537251047,0.0005881225224630435
Context,26102,0.5994942916251628,0.6238218629305025,0.0027247376635850824,0.5627576353569685,0.0021236054507958,0.6269093238224304,0.009276241177228048,0.6490620600815818,0.003968348034150573,0.22869623785886387,0.0018043191906225839
Context + trust,26102,0.5994942916251628,0.6659261558647989,0.004861353491049469,0.6355782175251448,0.005728445735420168,0.7035832688579925,0.005023767908882325,0.6103769466576452,0.0035568318184825893,0.21120998900498233,0.0015792933839893642
Context + stance,26102,0.5994942916251628,0.729216192197587,0.005228324388986148,0.7038121033326349,0.005905045074335747,0.7900856587675427,0.007252860539268244,0.5387864285211834,0.00837304596369657,0.18081387841617397,0.0032416027221299905
Context + trust + stance,26102,0.5994942916251628,0.731055052503117,0.0037199208516809,0.7061554204665159,0.004540329285507314,0.7929242727579566,0.0068570062038827645,0.5362651763652206,0.007948960332163486,0.1797762033606151,0.003050199836364412
