model,n,countries,grouped_auc_mean,grouped_auc_sd,grouped_log_loss_mean
Stance only,26102,173,0.7564950170806922,0.007719660094483126,0.556675906587712
Trust only,26102,173,0.6651760888085125,0.012444089731371724,0.6277174935641288
Context + trust + stance,26102,173,0.7888683636991314,0.008258767904637962,0.5386376271121538
