split,context_trust_auc,context_trust_log_loss,context_stance_auc,context_stance_log_loss,context_trust_stance_auc,context_trust_stance_log_loss
1,0.7151552446740405,0.6027516378776393,0.792213472313261,0.5369891632256222,0.7956784209826687,0.5332841215044086
2,0.7076059271211017,0.6070005181886962,0.7867495412409491,0.5410488537305446,0.7899076828580727,0.5382466803753662
3,0.7018653044237283,0.6118400949480997,0.7913792679182219,0.5366630111583953,0.794839668829828,0.5339783168712007
4,0.696872517763585,0.6143032963125359,0.7891664332017523,0.5401799935278918,0.7912575299121668,0.5385050602063018
5,0.6975448277970558,0.6143404511668457,0.7901495024229176,0.5384834811452559,0.7928264824128284,0.5366169469000763
6,0.7081190038549512,0.6074397085893044,0.7930620810624569,0.535226873823787,0.7970747139345101,0.5318563050477624
7,0.6959707891572433,0.6160147727792817,0.7939927393072089,0.535357208067734,0.7946346963939475,0.5351210720216982
8,0.6984959204394368,0.6138913935177802,0.7835040492980081,0.5457304220988501,0.7859691483948847,0.5433945107815381
9,0.697920167685124,0.6138941115782103,0.7847059159780024,0.5436958855832136,0.7881851927762975,0.5410544091927261
10,0.714655823409817,0.6017663494070601,0.7955724811593317,0.5321242554562216,0.7990221196325114,0.5287366985878637
11,0.6902791210772473,0.6196971231704732,0.7894621403458914,0.540075056889063,0.7907198506301921,0.5385170972111174
12,0.7121192605461105,0.6045535745183092,0.7940747888027649,0.5354228463560339,0.7973918344708725,0.5328020561804961
13,0.7019212442984505,0.6114576965640953,0.7982632350151826,0.5300897147551071,0.7992040489464733,0.5289733808689696
14,0.7061136780788596,0.6079400280073507,0.7834508605646657,0.5454550574160719,0.7876803583331079,0.5417395885419797
15,0.7085283641866794,0.6070753186357382,0.7864522983322377,0.5417324297801043,0.790075056942385,0.5384132281785201
16,0.7020393959812554,0.6103818778360653,0.7823051171688187,0.5467366112222714,0.7858763329223218,0.5433202626702334
17,0.7026412450743564,0.6120552126137923,0.7914801453972067,0.5385046505394125,0.7953981234042747,0.5353504431524287
18,0.7064597105279609,0.6082000736924211,0.7951846313906148,0.5328640905466,0.7969273266135177,0.5312464728664862
19,0.7006545729548435,0.6117766109786151,0.7851196570732838,0.5425416003732184,0.7884178170640765,0.5398206686576684
20,0.706508170659003,0.6087732227716193,0.7967425134139443,0.5319352202650766,0.797875628659217,0.530531945053523
21,0.7039345559777719,0.6111224687608291,0.7914407249691742,0.5383474966126626,0.794725149469123,0.5356392717396167
22,0.7101899514578682,0.6068321527528223,0.7981919316468113,0.530586984677685,0.8001394994216808,0.5286439037607141
23,0.6999285773129571,0.6122862469781208,0.7769918683902873,0.5500145997406912,0.7809272232928748,0.5469667271214727
24,0.6883808906331125,0.6206871499105427,0.7793150544443238,0.5487200858613658,0.7814307585859683,0.5474028753058487
25,0.7120063592032653,0.6037158436888741,0.8012832291300427,0.5280394146632201,0.803654936790131,0.5254340910942501
26,0.7047843870658215,0.609838364024676,0.7884631839176877,0.5393878983803871,0.7913692181462315,0.5369798003155171
27,0.7014567223289222,0.6122889652205782,0.7844876031921378,0.5460395877533196,0.7862966646956453,0.5437160245750792
28,0.7022924191229393,0.6110242973910744,0.795900310252327,0.5312682946122872,0.7987874802892183,0.5293359270709224
29,0.6982927945008963,0.6132609119208126,0.7936241992841225,0.5353871801821699,0.7964328089505022,0.5328720865586963
30,0.7078051576807253,0.607210577177147,0.7883933839827567,0.5407298291134804,0.7918287295351362,0.5375733546531285
31,0.713815102913292,0.6039840601206863,0.7946955841480986,0.5341210986150957,0.7988688017870593,0.5300271236631202
32,0.6949581578131137,0.6179508856465218,0.7828794636377109,0.5475945697991861,0.7855414120764023,0.5452469903788029
33,0.7004362393181205,0.6124153117228471,0.7832101356939349,0.5448011584721731,0.7860826329768006,0.5430895708512137
34,0.7026506788670617,0.609745972487425,0.798124684478473,0.5305195950949527,0.7993300665057861,0.5292080585737589
35,0.700622850329425,0.6112707872589135,0.7893047678737942,0.5391760597786318,0.7923988412797897,0.5362212287902922
36,0.71258535363027,0.605131369588536,0.7949947515825468,0.5325962058172048,0.7993409301693093,0.5290029553978944
