favorable_stance,stance_score,n,daily_n,daily_rate,ci_low,ci_high
Very unfavorable,0,449,93,0.2071269487750557,0.17220420150263083,0.2470185863469756
Unfavorable,1,1505,326,0.21661129568106313,0.19653501376086965,0.23813057352574815
Unsure,2,190,69,0.3631578947368421,0.29811551801222724,0.4336240163662224
Indifferent,3,3456,1180,0.3414351851851852,0.32580966561529556,0.3574128134940282
Favorable,4,9238,5992,0.6486252435592119,0.6388301733622314,0.6582967587795371
Very favorable,5,5922,5351,0.903579871664978,0.8957985022027872,0.9108379954518886
