favorable_stance,stance_score,n,daily_n,daily_rate,ci_low,ci_high
Very unfavorable,0,3202,110,0.034353529044347283,0.02858204935242546,0.041240947728358686
Unfavorable,1,3605,387,0.1073509015256588,0.09766053974026023,0.11787717996740435
Unsure,2,728,98,0.1346153846153846,0.11173089075483753,0.16133570913788123
Indifferent,3,5842,1372,0.23485107839780897,0.22415731411528755,0.24589331558054883
Favorable,4,12241,7153,0.5843476840127441,0.5755920259220985,0.5930504188939149
Very favorable,5,7613,6528,0.8574806252462892,0.8494475398103101,0.8651531289087067
