favorable_stance,stance_score,n,daily_n,daily_rate,ci_low,ci_high
Very unfavorable,0,585,110,0.18803418803418803,0.1584438833194188,0.2216948712937397
Unfavorable,1,1928,387,0.20072614107883818,0.18345007353454162,0.219192418306136
Unsure,2,288,98,0.3402777777777778,0.2879804716063555,0.3967798761120119
Indifferent,3,4353,1372,0.31518492993337927,0.30155160637134415,0.329144159079914
Favorable,4,11540,7153,0.619844020797227,0.6109489184333479,0.6286593618663168
Very favorable,5,7408,6528,0.8812095032397408,0.8736435536349296,0.8883803012167444
